,CVE_ENT,CVE_MUN,POB_SENIOR,POB_SENIOR_PER
0,01,008,956.0,0.10008375209380234
1,01,009,2158.0,0.09597509450744941
2,01,007,5264.0,0.09175687217835417
3,01,006,4481.0,0.09404776896276708
4,01,005,9815.0,0.07554125714813476
5,01,004,1613.0,0.09488235294117647
6,01,003,7829.0,0.13440343347639486
7,01,002,4697.0,0.09114017385904999
8,01,001,102987.0,0.10852274523440711
9,01,010,1988.0,0.09533400469956362
10,01,011,3588.0,0.05787376808555253
11,02,004,169282.0,0.08805200249879976
12,02,003,11535.0,0.10637218738472888
13,02,002,122934.0,0.11710319758580748
14,02,006,7796.0,0.06631056069678824
15,02,001,53463.0,0.12046452624676943
16,02,005,14292.0,0.11263298920324691
17,03,008,19895.0,0.05666299261487108
18,03,001,9649.0,0.13214006929513428
19,03,003,37267.0,0.12752146344968707
20,03,009,2056.0,0.11389319742964768
21,03,002,6741.0,0.10529193089875355
22,04,011,4804.0,0.10240231918657941
23,04,003,23814.0,0.09569812533906649
24,04,004,8353.0,0.10685685045413841
25,04,002,37321.0,0.1269089388153443
26,04,012,1977.0,0.12924102765248088
27,04,006,4331.0,0.1027764594209777
28,04,007,1164.0,0.13405505009789243
29,04,008,1273.0,0.1111596227733147
30,04,009,5915.0,0.09871001118101563
31,04,005,3659.0,0.1146411003540433
32,04,010,2560.0,0.08072144794097244
33,04,001,7445.0,0.12569219340896812
34,05,010,9286.0,0.11268186727177856
35,05,008,433.0,0.14210699048244174
36,05,037,785.0,0.1268584356819651
37,05,031,3406.0,0.13756613756613756
38,05,038,1818.0,0.13840883136657783
39,05,013,201.0,0.11585014409221903
40,05,018,30877.0,0.12976200982555233
41,05,030,89453.0,0.10165598812670605
42,05,028,8148.0,0.12571939948465538
43,05,001,230.0,0.22504892367906065
44,05,023,1187.0,0.12310723916199959
45,05,022,3208.0,0.09683358990612455
46,05,012,286.0,0.17407181984175288
47,05,009,6522.0,0.11047683577538749
48,05,005,299.0,0.1819841752891053
49,05,004,3332.0,0.11265129488133072
50,05,002,11800.0,0.07236688785585497
51,05,034,563.0,0.08348161328588374
52,05,003,2770.0,0.12014226231783484
53,05,035,87543.0,0.12144446540740905
54,05,014,1163.0,0.12239528520311513
55,05,027,7422.0,0.06071513297284916
56,05,026,499.0,0.15405989502933004
57,05,007,1668.0,0.13118364136846244
58,05,024,5952.0,0.1338370210469509
59,05,032,6927.0,0.1639138665404638
60,05,029,328.0,0.13273978146499393
61,05,033,12742.0,0.1261072238002395
62,05,025,17040.0,0.09663863163327227
63,05,006,3416.0,0.11727547377094205
64,05,021,922.0,0.14100015292858234
65,05,011,1781.0,0.14968902336527148
66,05,036,2569.0,0.12652056143806945
67,05,016,343.0,0.19444444444444445
68,05,019,1017.0,0.1282795156407669
69,05,020,9377.0,0.13091432001898726
70,05,015,225.0,0.14204545454545456
71,05,017,12999.0,0.1098473005061815
72,06,007,20091.0,0.10517141196978501
73,06,004,2980.0,0.14301482939002735
74,06,009,13133.0,0.11291861914793001
