,CVE_ENT,CVE_MUN,POB
0,01,008,9552.0
1,01,009,22485.0
2,01,007,57369.0
3,01,006,47646.0
4,01,005,129929.0
5,01,004,17000.0
6,01,003,58250.0
7,01,002,51536.0
8,01,001,948990.0
9,01,010,20853.0
10,01,011,61997.0
11,02,004,1922523.0
12,02,003,108440.0
13,02,002,1049792.0
14,02,006,117568.0
15,02,001,443807.0
16,02,005,126890.0
17,03,008,351111.0
18,03,001,73021.0
19,03,003,292241.0
20,03,009,18052.0
21,03,002,64022.0
22,04,011,46913.0
23,04,003,248845.0
24,04,004,78170.0
25,04,002,294077.0
26,04,012,15297.0
27,04,006,42140.0
28,04,007,8683.0
29,04,008,11452.0
30,04,009,59923.0
31,04,005,31917.0
32,04,010,31714.0
33,04,001,59232.0
34,05,010,82409.0
35,05,008,3047.0
36,05,037,6188.0
37,05,031,24759.0
38,05,038,13135.0
39,05,013,1735.0
40,05,018,237951.0
41,05,030,879958.0
42,05,028,64811.0
43,05,001,1022.0
44,05,023,9642.0
45,05,022,33129.0
46,05,012,1643.0
47,05,009,59035.0
48,05,005,1643.0
49,05,004,29578.0
50,05,002,163058.0
51,05,034,6744.0
52,05,003,23056.0
53,05,035,720848.0
54,05,014,9502.0
55,05,027,122243.0
56,05,026,3239.0
57,05,007,12715.0
58,05,024,44472.0
59,05,032,42260.0
60,05,029,2471.0
61,05,033,101041.0
62,05,025,176327.0
63,05,006,29128.0
64,05,021,6539.0
65,05,011,11898.0
66,05,036,20305.0
67,05,016,1764.0
68,05,019,7928.0
69,05,020,71627.0
70,05,015,1584.0
71,05,017,118337.0
72,06,007,191031.0
73,06,004,20837.0
74,06,009,116305.0
75,06,005,31267.0
76,06,008,10231.0
77,06,002,157048.0
78,06,010,149762.0
79,06,001,27626.0
80,06,003,21661.0
81,06,006,5623.0
82,07,078,215874.0
83,07,085,10890.0
84,07,017,88106.0
85,07,088,2308.0
86,07,067,12266.0
87,07,086,25627.0
88,07,018,9900.0
89,07,080,25937.0
90,07,091,13592.0
91,07,093,48162.0
92,07,098,7211.0
93,07,100,38025.0
94,07,105,16008.0
95,07,112,37948.0
96,07,049,31259.0
97,07,050,5232.0
98,07,051,46130.0
99,07,072,29636.0
100,07,110,7526.0
101,07,111,45373.0
102,07,124,23847.0
103,07,123,10783.0
104,07,023,101967.0
105,07,113,8480.0
106,07,115,14714.0
107,07,077,64251.0
108,07,117,8412.0
109,07,118,6047.0
110,07,121,8718.0
111,07,070,12263.0
112,07,063,3983.0
113,07,081,52935.0
114,07,069,51193.0
115,07,116,12892.0
116,07,090,4547.0
117,07,022,21915.0
118,07,062,18469.0
119,07,119,4959.0
120,07,094,49499.0
121,07,092,21426.0
122,07,087,41672.0
123,07,009,41135.0
124,07,008,31947.0
125,07,125,11650.0
126,07,114,23603.0
127,07,089,353706.0
128,07,084,8561.0
129,07,083,19092.0
130,07,082,15518.0
131,07,074,44829.0
132,07,068,31919.0
133,07,073,10866.0
134,07,057,76398.0
135,07,065,132265.0
136,07,060,14088.0
137,07,058,4765.0
138,07,059,234661.0
139,07,037,36333.0
140,07,035,14556.0
141,07,056,13755.0
142,07,061,97397.0
143,07,064,54932.0
144,07,120,4315.0
145,07,101,604147.0
146,07,099,83111.0
147,07,122,15587.0
148,07,097,91913.0
149,07,096,83505.0
150,07,001,17994.0
151,07,002,21187.0
152,07,003,26899.0
153,07,004,36160.0
154,07,005,24512.0
155,07,006,31735.0
156,07,007,11283.0
157,07,102,41024.0
158,07,055,5876.0
159,07,054,28250.0
160,07,053,7901.0
161,07,052,141027.0
162,07,048,21807.0
163,07,047,24966.0
164,07,103,30302.0
165,07,104,16560.0
166,07,106,67292.0
167,07,010,7365.0
168,07,046,41063.0
169,07,045,6284.0
170,07,044,28999.0
171,07,011,20157.0
172,07,012,64632.0
173,07,013,37263.0
174,07,014,24273.0
175,07,015,50112.0
176,07,016,17619.0
177,07,019,166178.0
178,07,020,49920.0
179,07,021,22192.0
180,07,043,10961.0
181,07,042,11377.0
182,07,041,46409.0
183,07,040,53242.0
184,07,039,27893.0
185,07,024,13678.0
186,07,025,7472.0
187,07,026,47371.0
188,07,027,112075.0
189,07,028,6156.0
190,07,029,5402.0
191,07,030,36785.0
192,07,031,137262.0
193,07,038,22975.0
194,07,036,7701.0
195,07,032,30896.0
196,07,033,7245.0
197,07,034,80897.0
198,07,075,28829.0
199,07,076,29889.0
200,07,107,65643.0
201,07,108,109536.0
202,07,109,40285.0
203,07,066,26391.0
204,07,071,30297.0
205,07,079,41793.0
206,08,018,5099.0
207,08,037,1512450.0
208,08,061,3414.0
209,08,062,29862.0
210,08,041,1302.0
211,08,063,5320.0
212,08,067,4775.0
213,08,051,8127.0
214,08,050,65753.0
215,08,031,35473.0
216,08,060,11582.0
217,08,057,2197.0
218,08,001,14635.0
219,08,053,5111.0
220,08,007,16440.0
221,08,055,16776.0
222,08,004,24344.0
223,08,025,7023.0
224,08,023,6656.0
225,08,022,2456.0
226,08,021,150506.0
227,08,020,6222.0
228,08,017,180638.0
229,08,016,3704.0
