,AÑO,INEGI,NOM_ENTDIAD,NOM_MUNICIPIO,MODALIDAD,SUBTIPO_CRIMEN,ID_ENTIDAD,ID_MUNICIPIO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_ROBOS_AÑO,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO
569,2017,14039,JALISCO,GUADALAJARA,ROBO COMUN,A NEGOCIO,14,39,514.0,386.0,465.0,437.0,419.0,371.0,355.0,471.0,525.0,633.0,668.0,652.0,5896.0,14039,14,39,Guadalajara
14,2017,2004,BAJA CALIFORNIA,TIJUANA,ROBO COMUN,A NEGOCIO,2,4,341.0,305.0,336.0,309.0,338.0,288.0,296.0,384.0,316.0,302.0,351.0,322.0,3888.0,02004,2,4,Tijuana
1965,2017,27004,TABASCO,CENTRO,ROBO COMUN,A NEGOCIO,27,4,341.0,364.0,369.0,399.0,403.0,321.0,330.0,295.0,263.0,264.0,261.0,259.0,3869.0,27004,27,4,Centro
1681,2017,21114,PUEBLA,PUEBLA,ROBO COMUN,A NEGOCIO,21,114,283.0,210.0,288.0,353.0,322.0,278.0,251.0,264.0,268.0,349.0,374.0,206.0,3446.0,21114,21,114,Puebla
650,2017,14120,JALISCO,ZAPOPAN,ROBO COMUN,A NEGOCIO,14,120,399.0,220.0,276.0,232.0,231.0,217.0,186.0,297.0,303.0,299.0,353.0,325.0,3338.0,14120,14,120,Zapopan
12,2017,2002,BAJA CALIFORNIA,MEXICALI,ROBO COMUN,A NEGOCIO,2,2,373.0,374.0,435.0,296.0,289.0,210.0,211.0,175.0,237.0,223.0,247.0,255.0,3325.0,02002,2,2,Mexicali
270,2017,9007,CIUDAD DE MEXICO,IZTAPALAPA,ROBO COMUN,A NEGOCIO,9,7,295.0,298.0,236.0,185.0,232.0,251.0,252.0,252.0,206.0,210.0,192.0,238.0,2847.0,09007,9,7,Iztapalapa
1798,2017,22014,QUERETARO,QUERETARO,ROBO COMUN,A NEGOCIO,22,14,195.0,185.0,208.0,184.0,185.0,171.0,207.0,224.0,220.0,220.0,215.0,254.0,2468.0,22014,22,14,Querétaro
2274,2017,30193,VERACRUZ,VERACRUZ,ROBO COMUN,A NEGOCIO,30,193,420.0,183.0,206.0,209.0,220.0,184.0,143.0,183.0,165.0,244.0,170.0,135.0,2462.0,30193,30,193,Veracruz
278,2017,9015,CIUDAD DE MEXICO,CUAUHTEMOC,ROBO COMUN,A NEGOCIO,9,15,225.0,194.0,157.0,138.0,179.0,259.0,215.0,202.0,197.0,216.0,202.0,276.0,2460.0,09015,9,15,Cuauhtémoc
688,2017,15033,MEXICO,ECATEPEC DE MORELOS,ROBO COMUN,A NEGOCIO,15,33,211.0,160.0,138.0,113.0,124.0,163.0,155.0,166.0,170.0,218.0,217.0,190.0,2025.0,15033,15,33,Ecatepec de Morelos
268,2017,9005,CIUDAD DE MEXICO,GUSTAVO A. MADERO,ROBO COMUN,A NEGOCIO,9,5,180.0,169.0,151.0,125.0,170.0,204.0,180.0,175.0,163.0,172.0,164.0,149.0,2002.0,09005,9,5,Gustavo A. Madero
1807,2017,23005,QUINTANA ROO,BENITO JUAREZ,ROBO COMUN,A NEGOCIO,23,5,134.0,120.0,155.0,138.0,68.0,114.0,132.0,78.0,77.0,428.0,248.0,263.0,1955.0,23005,23,5,Benito Juárez
277,2017,9014,CIUDAD DE MEXICO,BENITO JUAREZ,ROBO COMUN,A NEGOCIO,9,14,189.0,146.0,120.0,127.0,145.0,156.0,170.0,162.0,131.0,152.0,176.0,167.0,1841.0,09014,9,14,Benito Juárez
628,2017,14098,JALISCO,TLAQUEPAQUE,ROBO COMUN,A NEGOCIO,14,98,138.0,100.0,115.0,109.0,107.0,153.0,139.0,156.0,160.0,182.0,185.0,166.0,1710.0,14098,14,98,San Pedro Tlaquepaque
339,2017,11020,GUANAJUATO,LEON,ROBO COMUN,A NEGOCIO,11,20,125.0,145.0,146.0,136.0,122.0,98.0,126.0,150.0,121.0,154.0,163.0,153.0,1639.0,11020,11,20,León
0,2017,1001,AGUASCALIENTES,AGUASCALIENTES,ROBO COMUN,A NEGOCIO,1,1,127.0,101.0,116.0,116.0,107.0,108.0,132.0,132.0,153.0,162.0,176.0,133.0,1563.0,01001,1,1,Aguascalientes
627,2017,14097,JALISCO,TLAJOMULCO DE ZUÑIGA,ROBO COMUN,A NEGOCIO,14,97,114.0,98.0,104.0,149.0,83.0,132.0,108.0,123.0,161.0,146.0,152.0,181.0,1551.0,14097,14,97,Tlajomulco de Zúñiga
326,2017,11007,GUANAJUATO,CELAYA,ROBO COMUN,A NEGOCIO,11,7,136.0,128.0,143.0,100.0,121.0,106.0,127.0,113.0,100.0,118.0,109.0,143.0,1444.0,11007,11,7,Celaya
234,2017,8037,CHIHUAHUA,JUAREZ,ROBO COMUN,A NEGOCIO,8,37,90.0,75.0,105.0,102.0,99.0,84.0,132.0,129.0,139.0,140.0,141.0,119.0,1355.0,08037,8,37,Juárez
279,2017,9016,CIUDAD DE MEXICO,MIGUEL HIDALGO,ROBO COMUN,A NEGOCIO,9,16,120.0,117.0,90.0,90.0,120.0,122.0,110.0,118.0,117.0,123.0,107.0,105.0,1339.0,09016,9,16,Miguel Hidalgo
759,2017,15104,MEXICO,TLALNEPANTLA DE BAZ,ROBO COMUN,A NEGOCIO,15,104,67.0,52.0,62.0,46.0,92.0,159.0,111.0,142.0,101.0,151.0,167.0,170.0,1320.0,15104,15,104,Tlalnepantla de Baz
266,2017,9003,CIUDAD DE MEXICO,COYOACAN,ROBO COMUN,A NEGOCIO,9,3,110.0,91.0,103.0,85.0,106.0,114.0,107.0,127.0,89.0,112.0,86.0,93.0,1223.0,09003,9,3,Coyoacán
712,2017,15057,MEXICO,NAUCALPAN DE JUAREZ,ROBO COMUN,A NEGOCIO,15,57,85.0,59.0,79.0,40.0,104.0,172.0,143.0,107.0,101.0,101.0,101.0,128.0,1220.0,15057,15,57,Naucalpan de Juárez
631,2017,14101,JALISCO,TONALA,ROBO COMUN,A NEGOCIO,14,101,122.0,97.0,91.0,51.0,65.0,65.0,69.0,107.0,90.0,103.0,110.0,118.0,1088.0,14101,14,101,Tonalá
900,2017,17007,MORELOS,CUERNAVACA,ROBO COMUN,A NEGOCIO,17,7,83.0,90.0,79.0,66.0,97.0,92.0,78.0,75.0,117.0,85.0,113.0,108.0,1083.0,17007,17,7,Cuernavaca
273,2017,9010,CIUDAD DE MEXICO,ALVARO OBREGON,ROBO COMUN,A NEGOCIO,9,10,93.0,110.0,79.0,72.0,89.0,85.0,102.0,99.0,94.0,104.0,70.0,85.0,1082.0,09010,9,10,Álvaro Obregón
265,2017,9002,CIUDAD DE MEXICO,AZCAPOTZALCO,ROBO COMUN,A NEGOCIO,9,2,81.0,105.0,79.0,75.0,97.0,98.0,81.0,91.0,78.0,85.0,106.0,98.0,1074.0,09002,9,2,Azcapotzalco
985,2017,19039,NUEVO LEON,MONTERREY,ROBO COMUN,A NEGOCIO,19,39,127.0,71.0,88.0,79.0,85.0,98.0,94.0,102.0,96.0,82.0,84.0,67.0,1073.0,19039,19,39,Monterrey
285,2017,10005,DURANGO,DURANGO,ROBO COMUN,A NEGOCIO,10,5,66.0,101.0,70.0,95.0,95.0,85.0,62.0,78.0,96.0,72.0,92.0,85.0,997.0,10005,10,5,Durango
280,2017,9017,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,ROBO COMUN,A NEGOCIO,9,17,95.0,76.0,95.0,74.0,84.0,92.0,70.0,78.0,89.0,96.0,66.0,77.0,992.0,09017,9,17,Venustiano Carranza
761,2017,15106,MEXICO,TOLUCA,ROBO COMUN,A NEGOCIO,15,106,65.0,52.0,61.0,48.0,64.0,67.0,65.0,108.0,96.0,134.0,104.0,100.0,964.0,15106,15,106,Toluca
336,2017,11017,GUANAJUATO,IRAPUATO,ROBO COMUN,A NEGOCIO,11,17,96.0,77.0,94.0,71.0,72.0,86.0,65.0,73.0,92.0,82.0,53.0,89.0,950.0,11017,11,17,Irapuato
275,2017,9012,CIUDAD DE MEXICO,TLALPAN,ROBO COMUN,A NEGOCIO,9,12,96.0,94.0,60.0,72.0,97.0,85.0,83.0,96.0,62.0,82.0,52.0,57.0,936.0,09012,9,12,Tlalpan
179,2017,7101,CHIAPAS,TUXTLA GUTIERREZ,ROBO COMUN,A NEGOCIO,7,101,74.0,63.0,76.0,68.0,83.0,70.0,78.0,104.0,75.0,94.0,62.0,76.0,923.0,07101,7,101,Tuxtla Gutiérrez
366,2017,12001,GUERRERO,ACAPULCO DE JUAREZ,ROBO COMUN,A NEGOCIO,12,1,61.0,46.0,123.0,91.0,77.0,78.0,58.0,51.0,78.0,61.0,60.0,50.0,834.0,12001,12,1,Acapulco de Juárez
1841,2017,24028,SAN LUIS POTOSI,SAN LUIS POTOSI,ROBO COMUN,A NEGOCIO,24,28,67.0,47.0,57.0,59.0,54.0,70.0,81.0,63.0,75.0,78.0,88.0,59.0,798.0,24028,24,28,San Luis Potosí
216,2017,8019,CHIHUAHUA,CHIHUAHUA,ROBO COMUN,A NEGOCIO,8,19,57.0,47.0,73.0,60.0,53.0,69.0,57.0,73.0,74.0,83.0,73.0,59.0,778.0,08019,8,19,Chihuahua
2109,2017,30028,VERACRUZ,BOCA DEL RIO,ROBO COMUN,A NEGOCIO,30,28,24.0,25.0,31.0,46.0,78.0,72.0,76.0,122.0,66.0,64.0,30.0,77.0,711.0,30028,30,28,Boca del Río
66,2017,5035,COAHUILA,TORREON,ROBO COMUN,A NEGOCIO,5,35,57.0,76.0,115.0,33.0,35.0,58.0,41.0,78.0,40.0,50.0,67.0,42.0,692.0,05035,5,35,Torreón
2005,2017,28027,TAMAULIPAS,NUEVO LAREDO,ROBO COMUN,A NEGOCIO,28,27,88.0,72.0,87.0,78.0,71.0,87.0,56.0,48.0,37.0,13.0,21.0,19.0,677.0,28027,28,27,Nuevo Laredo
1974,2017,27013,TABASCO,NACAJUCA,ROBO COMUN,A NEGOCIO,27,13,28.0,42.0,56.0,94.0,106.0,85.0,51.0,57.0,41.0,40.0,26.0,17.0,643.0,27013,27,13,Nacajuca
11,2017,2001,BAJA CALIFORNIA,ENSENADA,ROBO COMUN,A NEGOCIO,2,1,97.0,67.0,47.0,47.0,51.0,49.0,54.0,44.0,59.0,38.0,48.0,36.0,637.0,02001,2,1,Ensenada
494,2017,13048,HIDALGO,PACHUCA DE SOTO,ROBO COMUN,A NEGOCIO,13,48,35.0,30.0,46.0,54.0,66.0,86.0,40.0,69.0,56.0,48.0,47.0,51.0,628.0,13048,13,48,Pachuca de Soto
972,2017,19026,NUEVO LEON,GUADALUPE,ROBO COMUN,A NEGOCIO,19,26,75.0,51.0,58.0,40.0,51.0,66.0,53.0,49.0,59.0,49.0,42.0,30.0,623.0,19026,19,26,Guadalupe
713,2017,15058,MEXICO,NEZAHUALCOYOTL,ROBO COMUN,A NEGOCIO,15,58,43.0,33.0,37.0,29.0,47.0,74.0,49.0,52.0,49.0,57.0,67.0,60.0,597.0,15058,15,58,Nezahualcóyotl
833,2017,16053,MICHOACAN,MORELIA,ROBO COMUN,A NEGOCIO,16,53,40.0,51.0,64.0,71.0,54.0,29.0,37.0,51.0,54.0,55.0,43.0,41.0,590.0,16053,16,53,Morelia
776,2017,15121,MEXICO,CUAUTITLAN IZCALLI,ROBO COMUN,A NEGOCIO,15,121,32.0,34.0,28.0,16.0,23.0,34.0,31.0,48.0,61.0,119.0,77.0,78.0,581.0,15121,15,121,Cuautitlán Izcalli
686,2017,15031,MEXICO,CHIMALHUACAN,ROBO COMUN,A NEGOCIO,15,31,45.0,35.0,36.0,47.0,43.0,41.0,39.0,52.0,58.0,62.0,55.0,59.0,572.0,15031,15,31,Chimalhuacán
1963,2017,27002,TABASCO,CARDENAS,ROBO COMUN,A NEGOCIO,27,2,46.0,52.0,38.0,70.0,111.0,56.0,52.0,57.0,35.0,25.0,10.0,19.0,571.0,27002,27,2,Cárdenas
1877,2017,25006,SINALOA,CULIACAN,ROBO COMUN,A NEGOCIO,25,6,76.0,84.0,50.0,18.0,8.0,50.0,62.0,36.0,45.0,23.0,75.0,19.0,546.0,25006,25,6,Culiacán
952,2017,19006,NUEVO LEON,APODACA,ROBO COMUN,A NEGOCIO,19,6,56.0,36.0,28.0,48.0,54.0,26.0,41.0,47.0,42.0,66.0,63.0,38.0,545.0,19006,19,6,Apodaca
269,2017,9006,CIUDAD DE MEXICO,IZTACALCO,ROBO COMUN,A NEGOCIO,9,6,48.0,36.0,36.0,50.0,56.0,61.0,38.0,49.0,31.0,38.0,38.0,35.0,516.0,09006,9,6,Iztacalco
2120,2017,30039,VERACRUZ,COATZACOALCOS,ROBO COMUN,A NEGOCIO,30,39,75.0,48.0,65.0,63.0,47.0,43.0,18.0,40.0,40.0,21.0,30.0,16.0,506.0,30039,30,39,Coatzacoalcos
668,2017,15013,MEXICO,ATIZAPAN DE ZARAGOZA,ROBO COMUN,A NEGOCIO,15,13,27.0,26.0,16.0,29.0,26.0,63.0,47.0,44.0,28.0,51.0,42.0,51.0,450.0,15013,15,13,Atizapán de Zaragoza
764,2017,15109,MEXICO,TULTITLAN,ROBO COMUN,A NEGOCIO,15,109,35.0,28.0,9.0,10.0,11.0,19.0,20.0,31.0,69.0,76.0,71.0,70.0,449.0,15109,15,109,Tultitlán
1919,2017,26030,SONORA,HERMOSILLO,ROBO COMUN,A NEGOCIO,26,30,54.0,23.0,39.0,41.0,44.0,42.0,31.0,29.0,32.0,42.0,31.0,24.0,432.0,26030,26,30,Hermosillo
1064,2017,20067,OAXACA,OAXACA DE JUAREZ,ROBO COMUN,A NEGOCIO,20,67,25.0,13.0,31.0,36.0,29.0,38.0,19.0,56.0,54.0,47.0,45.0,32.0,425.0,20067,20,67,Oaxaca de Juárez
2168,2017,30087,VERACRUZ,XALAPA,ROBO COMUN,A NEGOCIO,30,87,71.0,58.0,40.0,26.0,41.0,36.0,28.0,25.0,15.0,19.0,17.0,30.0,406.0,30087,30,87,Xalapa
276,2017,9013,CIUDAD DE MEXICO,XOCHIMILCO,ROBO COMUN,A NEGOCIO,9,13,46.0,28.0,22.0,27.0,36.0,29.0,33.0,35.0,39.0,32.0,34.0,39.0,400.0,09013,9,13,Xochimilco
346,2017,11027,GUANAJUATO,SALAMANCA,ROBO COMUN,A NEGOCIO,11,27,32.0,32.0,38.0,36.0,34.0,27.0,27.0,27.0,28.0,35.0,35.0,34.0,385.0,11027,11,27,Salamanca
2189,2017,30108,VERACRUZ,MINATITLAN,ROBO COMUN,A NEGOCIO,30,108,29.0,26.0,31.0,9.0,22.0,21.0,18.0,21.0,64.0,72.0,44.0,20.0,377.0,30108,30,108,Minatitlán
1810,2017,23008,QUINTANA ROO,SOLIDARIDAD,ROBO COMUN,A NEGOCIO,23,8,32.0,2.0,57.0,26.0,39.0,18.0,17.0,33.0,40.0,39.0,31.0,43.0,377.0,23008,23,8,Solidaridad
992,2017,19046,NUEVO LEON,SAN NICOLAS DE LOS GARZA,ROBO COMUN,A NEGOCIO,19,46,27.0,27.0,19.0,22.0,32.0,28.0,51.0,39.0,26.0,39.0,36.0,27.0,373.0,19046,19,46,San Nicolás de los Garza
287,2017,10007,DURANGO,GOMEZ PALACIO,ROBO COMUN,A NEGOCIO,10,7,14.0,21.0,19.0,27.0,17.0,28.0,39.0,57.0,43.0,28.0,45.0,27.0,365.0,10007,10,7,Gómez Palacio
2010,2017,28032,TAMAULIPAS,REYNOSA,ROBO COMUN,A NEGOCIO,28,32,39.0,22.0,24.0,34.0,35.0,34.0,40.0,34.0,26.0,21.0,23.0,24.0,356.0,28032,28,32,Reynosa
675,2017,15020,MEXICO,COACALCO DE BERRIOZABAL,ROBO COMUN,A NEGOCIO,15,20,32.0,19.0,5.0,4.0,8.0,10.0,10.0,43.0,64.0,52.0,86.0,21.0,354.0,15020,15,20,Coacalco de Berriozábal
684,2017,15029,MEXICO,CHICOLOAPAN,ROBO COMUN,A NEGOCIO,15,29,17.0,18.0,38.0,19.0,24.0,42.0,27.0,46.0,21.0,30.0,25.0,41.0,348.0,15029,15,29,Chicoloapan
71,2017,6002,COLIMA,COLIMA,ROBO COMUN,A NEGOCIO,6,2,46.0,42.0,38.0,21.0,9.0,25.0,26.0,24.0,31.0,43.0,24.0,15.0,344.0,06002,6,2,Colima
